id,name,category,sub_category,definition_or_measurement,primary_data_level,data_source,dimensions,privacy_notes,status
U1,Activation success rate,Conversation and session,Activation,Activated conversations divided by activation attempts,session_quality,Session lifecycle,"tenant;client;activation path",Pseudonymous session data only,defined
U2,Conversation completion rate,Conversation and session,Completion,"Conversations with a delivered message in each direction divided by activated conversations with two connected parties",session_quality,"session_quality;translation_quality","language pair;input mode",Pseudonymous session and message linkage only,defined
U3,One-sided conversations,Conversation and session,Completion,"Conversations with delivered messages in one direction only divided by activated conversations",session_quality,"session_quality;translation_quality","end reason;client side",Pseudonymous session and message linkage only,defined
U4,Messages per conversation,Conversation and session,Use,Distribution of message_count for ended conversations,session_quality,session_quality,"tenant;language pair",Pseudonymous aggregates,defined
U5,Active conversation duration,Conversation and session,Use,"p50 and p95 of active_duration_ms",session_quality,session_quality,"end reason;client",Pseudonymous aggregates,defined
U6,Early abandonment rate,Conversation and session,Abandonment,"Abandoned conversations with no delivered message divided by activated conversations",session_quality,"session_quality;translation_quality",last active step,Pseudonymous aggregates,defined
U7,Return rate,Conversation and session,Retention,"Actors or tenants with another activation within 7 or 30 days",session_quality,session_quality,"tenant;time window",Only where a permitted rotating pseudonym exists,defined
Q1,End-to-end delivery latency,Input processing and output,Delivery,"delivery_acknowledged_at_utc minus accepted_at_utc; count p50 p95 p99 and maximum",translation_quality,translation_quality,"input mode;language pair;transport",Use gateway server time and no content,defined
Q2,Pipeline latency,Input processing and output,Pipeline,"ASR completion or text acceptance to translation or TTS completion; count p50 p95 p99 and maximum",translation_quality,translation_quality,"stage;provider;model;language",No content required,defined
Q3,Delivery success rate,Input processing and output,Delivery,"delivered divided by delivered plus failed plus expired",translation_quality,translation_quality,"transport;direction;fallback",Report cancelled and partial separately,defined
Q4,Delivery SLO breach rate,Input processing and output,Delivery,"Delivered messages exceeding the documented delivery latency SLO divided by delivered messages",translation_quality,translation_quality,"input mode;language pair",Separate SLOs for text and audio,defined
Q5,Partial-processing rate,Input processing and output,Pipeline,"terminal_outcome=partial divided by all terminal outcomes",translation_quality,translation_quality,"missing stage;cause",No content required,defined
Q6,Duplicate delivery rate,Input processing and output,Delivery,"Messages with more than one recipient acknowledgement divided by messages with at least one acknowledgement",translation_quality,translation_quality,"transport;client version",Pseudonymous message IDs only,defined
Q7,Ordering error rate,Input processing and output,Delivery,"Conversation-direction pairs whose recipient order differs from sender sequence divided by conversations with at least two deliveries",translation_quality,translation_quality,"transport;direction",Pseudonymous sequence data only,defined
Q8,Fallback success rate,Input processing and output,Delivery,"Messages delivered via polling divided by messages switched to polling",translation_quality,translation_quality,"fallback reason;client",No content required,defined
A1,ASR success rate,Input processing and output,ASR,"Successful ASR jobs divided by started ASR jobs",translation_quality,translation_quality,"language;model;audio format",No transcript required,defined
A2,ASR latency,Input processing and output,ASR,"Count p50 p95 p99 and maximum of ASR duration_ms",translation_quality,translation_quality,"language;audio-length bucket;model",No transcript required,defined
A3,ASR real-time factor,Input processing and output,ASR,"ASR duration_ms divided by recording_duration_ms",translation_quality,translation_quality,"language;model",No transcript required,defined
A4,ASR user correction rate,Input processing and output,ASR,"Audio messages explicitly corrected before sending divided by audio messages with an ASR result",translation_quality,translation_quality,"language;audio-length bucket",Store correction flag not text unless consented,defined
A5,ASR re-record or repeat rate,Input processing and output,ASR,"New recording within 60 seconds of an unsent ASR result divided by ASR results",translation_quality,translation_quality,"language;client;error class",No transcript required,defined
A6,ASR empty-result rate,Input processing and output,ASR,"Successful ASR results empty or whitespace-only divided by successful ASR results",translation_quality,translation_quality,"audio-duration bucket;language",Store boolean only,defined
A7,Negative ASR feedback rate,Input processing and output,ASR,"ASR ratings 1–2 or transcription_incorrect feedback divided by submitted ASR ratings",translation_quality,translation_quality,"language;model",Voluntary feedback only,defined
A8,ASR reference error rate,Input processing and output,ASR,"WER and CER on a separate consented annotated evaluation corpus",model evaluation,Gold corpus,"language;domain;model",Never infer from production content,defined
T1,Translation success rate,Input processing and output,Translation,"Successful translations divided by started translations",translation_quality,translation_quality,"language pair;provider;model",No translated content required,defined
T2,Translation latency,Input processing and output,Translation,"Count p50 p95 p99 and maximum of translation duration_ms",translation_quality,translation_quality,"language pair;model",No translated content required,defined
T3,Negative translation rating,Input processing and output,Translation,"Ratings 1–2 or translation_incorrect feedback divided by submitted translation ratings",translation_quality,translation_quality,"language pair;model version",Voluntary feedback only,defined
T4,Translation understandability rating,Input processing and output,Translation,"Share of ratings 4–5 and mean; display response rate",translation_quality,translation_quality,"language pair;direction",Voluntary feedback only,defined
T5,Resend after translation,Input processing and output,Translation,"Edited messages or same-direction follow-up within 60 seconds divided by translations",translation_quality,translation_quality,"language pair;input mode",Do not store text unless consented,defined
T6,Language-direction error,Input processing and output,Translation,"Results reported with wrong source or target language divided by translations",translation_quality,translation_quality,"language pair;client version",No content required,defined
T7,Safety-critical translation feedback,Input processing and output,Translation,"Count and rate of meaning_changed offensive or sensitive_context feedback",translation_quality,translation_quality,language pair,Aggregate and role-restrict access,defined
